Date,Product,Quantity,Cash,Card,QR,Bajaj,Total,date
13-11-22 10:32,No Data,1,0.0,0.0,0.0,0.0,0.0,13/11/2022
14-11-22 10:32,No Data,1,0.0,0.0,0.0,0.0,0.0,14/11/2022
15-11-22 10:32,BELT G SL,1,0.0,0.0,1300.0,0.0,1300.0,15/11/2022
15-11-22 12:12,FIRE BOLTT BEAST PRO-PINK,1,0.0,0.0,2800.0,0.0,2800.0,15/11/2022
16-11-22 11:14,TIMESTONE G SM,1,1250.0,0.0,0.0,0.0,1250.0,16/11/2022
16-11-22 11:16,FIRE BOLTT BEAST PRO,1,2600.0,0.0,0.0,0.0,2600.0,16/11/2022
16-11-22 13:30,CRONOUS G SL,1,1050.0,0.0,0.0,0.0,1050.0,16/11/2022
16-11-22 13:43,FIRE BOLTT2,2,3000.0,0.0,0.0,0.0,6000.0,16/11/2022
16-11-22 14:00,FASTRACK L SL,1,0.0,0.0,1495.0,0.0,1495.0,16/11/2022
16-11-22 14:08,FASTRACK G SL,1,0.0,0.0,2295.0,0.0,2295.0,16/11/2022
16-11-22 14:30,FIREBOLT RING 3,1,0.0,0.0,3000.0,0.0,3000.0,16/11/2022
16-11-22 14:39,TIME SWING LSM,1,0.0,0.0,800.0,0.0,800.0,16/11/2022
16-11-22 16:07,FELIX GSL ,1,700.0,0.0,0.0,0.0,700.0,16/11/2022
16-11-22 17:39,OREVA LSM,1,0.0,1900.0,0.0,0.0,1900.0,16/11/2022
17-11-22 17:25,TIME SWING LSM16,1,1600.0,0.0,0.0,0.0,1600.0,17/11/2022
17-11-22 17:44,FANCY L SL 0353,1,550.0,0.0,0.0,0.0,550.0,17/11/2022
17-11-22 18:03,TIMEX STRAP,1,0.0,0.0,450.0,0.0,450.0,17/11/2022
17-11-22 18:47,KIDS LED 0504,1,100.0,0.0,0.0,0.0,100.0,17/11/2022
17-11-22 18:48,TIMES LSM 0529,1,400.0,0.0,0.0,0.0,400.0,17/11/2022
17-11-22 19:36,FIRE BOLTT NINJA PRO MAX,1,0.0,0.0,2000.0,0.0,2000.0,17/11/2022
17-11-22 20:39,FASTRACK REFLE HELLO ,1,4000.0,0.0,0.0,0.0,4000.0,17/11/2022
18-11-22 10:11,TITAN G SM,1,0.0,0.0,4900.0,0.0,4900.0,18/11/2022
18-11-22 14:19,BOAT SMART WATCH,1,2350.0,0.0,0.0,0.0,2350.0,18/11/2022
